Grade,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,WGI,location,pay_type,year,B/O
1,18785,19414,20039,20660,21285,21650,22267,22891,22915,23502,VARIES,2018 General Schedule (Base),Salary,2018,
2,21121,21624,22323,22915,23175,23857,24539,25221,25903,26585,VARIES,2018 General Schedule (Base),Salary,2018,
3,23045,23813,24581,25349,26117,26885,27653,28421,29189,29957,768,2018 General Schedule (Base),Salary,2018,
4,25871,26733,27595,28457,29319,30181,31043,31905,32767,33629,862,2018 General Schedule (Base),Salary,2018,
5,28945,29910,30875,31840,32805,33770,34735,35700,36665,37630,965,2018 General Schedule (Base),Salary,2018,
6,32264,33339,34414,35489,36564,37639,38714,39789,40864,41939,1075,2018 General Schedule (Base),Salary,2018,
7,35854,37049,38244,39439,40634,41829,43024,44219,45414,46609,1195,2018 General Schedule (Base),Salary,2018,
8,39707,41031,42355,43679,45003,46327,47651,48975,50299,51623,1324,2018 General Schedule (Base),Salary,2018,
9,43857,45319,46781,48243,49705,51167,52629,54091,55553,57015,1462,2018 General Schedule (Base),Salary,2018,
10,48297,49907,51517,53127,54737,56347,57957,59567,61177,62787,1610,2018 General Schedule (Base),Salary,2018,
11,53062,54831,56600,58369,60138,61907,63676,65445,67214,68983,1769,2018 General Schedule (Base),Salary,2018,
12,63600,65720,67840,69960,72080,74200,76320,78440,80560,82680,2120,2018 General Schedule (Base),Salary,2018,
13,75628,78149,80670,83191,85712,88233,90754,93275,95796,98317,2521,2018 General Schedule (Base),Salary,2018,
14,89370,92349,95328,98307,101286,104265,107244,110223,113202,116181,2979,2018 General Schedule (Base),Salary,2018,
15,105123,108627,112131,115635,119139,122643,126147,129651,133155,136659,3504,2018 General Schedule (Base),Salary,2018,
1,90,93,96,99,102,1037,1067,1097,1098,1126,,2018 General Schedule (Base),Hourly,2018,B
1,135,1395,144,1485,153,1556,1601,1646,1647,1689,,2018 General Schedule (Base),Hourly,2018,O
2,1012,1036,107,1098,111,1143,1176,1208,1241,1274,,2018 General Schedule (Base),Hourly,2018,B
2,1518,1554,1605,1647,1665,1715,1764,1812,1862,1911,,2018 General Schedule (Base),Hourly,2018,O
3,1104,1141,1178,1215,1251,1288,1325,1362,1399,1435,,2018 General Schedule (Base),Hourly,2018,B
3,1656,1712,1767,1823,1877,1932,1988,2043,2099,2153,,2018 General Schedule (Base),Hourly,2018,O
4,124,1281,1322,1364,1405,1446,1487,1529,157,1611,,2018 General Schedule (Base),Hourly,2018,B
4,186,1922,1983,2046,2108,2169,2231,2294,2355,2417,,2018 General Schedule (Base),Hourly,2018,O
5,1387,1433,1479,1526,1572,1618,1664,1711,1757,1803,,2018 General Schedule (Base),Hourly,2018,B
5,2081,215,2219,2289,2358,2427,2496,2567,2636,2705,,2018 General Schedule (Base),Hourly,2018,O
6,1546,1597,1649,170,1752,1803,1855,1907,1958,201,,2018 General Schedule (Base),Hourly,2018,B
6,2319,2396,2474,255,2628,2705,2783,2861,2937,3015,,2018 General Schedule (Base),Hourly,2018,O
7,1718,1775,1832,189,1947,2004,2062,2119,2176,2233,,2018 General Schedule (Base),Hourly,2018,B
7,2577,2663,2748,2835,2921,3006,3093,3179,3264,335,,2018 General Schedule (Base),Hourly,2018,O
8,1903,1966,2029,2093,2156,222,2283,2347,241,2474,,2018 General Schedule (Base),Hourly,2018,B
8,2855,2949,3044,314,3234,333,3425,3471,3471,3471,,2018 General Schedule (Base),Hourly,2018,O
9,2101,2171,2242,2312,2382,2452,2522,2592,2662,2732,,2018 General Schedule (Base),Hourly,2018,B
9,3152,3257,3363,3468,3471,3471,3471,3471,3471,3471,,2018 General Schedule (Base),Hourly,2018,O
10,2314,2391,2468,2546,2623,270,2777,2854,2931,3008,,2018 General Schedule (Base),Hourly,2018,B
10,3471,3471,3471,3471,3471,3471,3471,3471,3471,3471,,2018 General Schedule (Base),Hourly,2018,O
11,2543,2627,2712,2797,2882,2966,3051,3136,3221,3305,,2018 General Schedule (Base),Hourly,2018,B
11,3471,3471,3471,3471,3471,3471,3471,3471,3471,3471,,2018 General Schedule (Base),Hourly,2018,O
12,3047,3149,3251,3352,3454,3555,3657,3759,386,3962,,2018 General Schedule (Base),Hourly,2018,B
12,3471,3471,3471,3471,3471,3555,3657,3759,386,3962,,2018 General Schedule (Base),Hourly,2018,O
13,3624,3745,3865,3986,4107,4228,4349,4469,459,4711,,2018 General Schedule (Base),Hourly,2018,B
13,3624,3745,3865,3986,4107,4228,4349,4469,459,4711,,2018 General Schedule (Base),Hourly,2018,O
14,4282,4425,4568,471,4853,4996,5139,5281,5424,5567,,2018 General Schedule (Base),Hourly,2018,B
14,4282,4425,4568,471,4853,4996,5139,5281,5424,5567,,2018 General Schedule (Base),Hourly,2018,O
15,5037,5205,5373,5541,5709,5877,6044,6212,638,6548,,2018 General Schedule (Base),Hourly,2018,B
15,5037,5205,5373,5541,5709,5877,6044,6212,638,6548,,2018 General Schedule (Base),Hourly,2018,O
1,21885,22617,23345,24069,24797,25222,25941,26668,26696,27380,,"ALBANY-SCHENECTADY, NY",Salary,2018,
2,24606,25192,26006,26696,26999,27793,28588,29382,30177,30972,,"ALBANY-SCHENECTADY, NY",Salary,2018,
3,26847,27742,28637,29532,30426,31321,32216,33110,34005,34900,,"ALBANY-SCHENECTADY, NY",Salary,2018,
4,30140,31144,32148,33152,34157,35161,36165,37169,38174,39178,,"ALBANY-SCHENECTADY, NY",Salary,2018,
5,33721,34845,35969,37094,38218,39342,40466,41591,42715,43839,,"ALBANY-SCHENECTADY, NY",Salary,2018,
6,37588,38840,40092,41345,42597,43849,45102,46354,47607,48859,,"ALBANY-SCHENECTADY, NY",Salary,2018,
7,41770,43162,44554,45946,47339,48731,50123,51515,52907,54299,,"ALBANY-SCHENECTADY, NY",Salary,2018,
8,46259,47801,49344,50886,52428,53971,55513,57056,58598,60141,,"ALBANY-SCHENECTADY, NY",Salary,2018,
9,51093,52797,54500,56203,57906,59610,61313,63016,64719,66422,,"ALBANY-SCHENECTADY, NY",Salary,2018,
10,56266,58142,60017,61893,63769,65644,67520,69396,71271,73147,,"ALBANY-SCHENECTADY, NY",Salary,2018,
11,61817,63878,65939,68000,70061,72122,74183,76243,78304,80365,,"ALBANY-SCHENECTADY, NY",Salary,2018,
12,74094,76564,79034,81503,83973,86443,88913,91383,93852,96322,,"ALBANY-SCHENECTADY, NY",Salary,2018,
13,88107,91044,93981,96918,99854,102791,105728,108665,111602,114539,,"ALBANY-SCHENECTADY, NY",Salary,2018,
14,104116,107587,111057,114528,117998,121469,124939,128410,131880,135351,,"ALBANY-SCHENECTADY, NY",Salary,2018,
15,122468,126550,130633,134715,138797,142879,146961,151043,155126,159208,,"ALBANY-SCHENECTADY, NY",Salary,2018,
1,1049,1084,1119,1153,1188,1209,1243,1278,1279,1312,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
1,1574,1626,1679,173,1782,1814,1865,1917,1919,1968,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
2,1179,1207,1246,1279,1294,1332,137,1408,1446,1484,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
2,1769,1811,1869,1919,1941,1998,2055,2112,2169,2226,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
3,1286,1329,1372,1415,1458,1501,1544,1586,1629,1672,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
3,1929,1994,2058,2123,2187,2252,2316,2379,2444,2508,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
4,1444,1492,154,1589,1637,1685,1733,1781,1829,1877,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
4,2166,2238,231,2384,2456,2528,260,2672,2744,2816,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
5,1616,167,1723,1777,1831,1885,1939,1993,2047,2101,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
5,2424,2505,2585,2666,2747,2828,2909,299,3071,3152,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
6,1801,1861,1921,1981,2041,2101,2161,2221,2281,2341,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
6,2702,2792,2882,2972,3062,3152,3242,3332,3422,3512,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
7,2001,2068,2135,2202,2268,2335,2402,2468,2535,2602,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
7,3002,3102,3203,3303,3402,3503,3603,3702,3803,3903,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
8,2217,229,2364,2438,2512,2586,266,2734,2808,2882,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
8,3326,3435,3546,3657,3768,3879,399,4044,4044,4044,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
9,2448,253,2611,2693,2775,2856,2938,3019,3101,3183,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
9,3672,3795,3917,404,4044,4044,4044,4044,4044,4044,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
10,2696,2786,2876,2966,3056,3145,3235,3325,3415,3505,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
10,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
11,2962,3061,316,3258,3357,3456,3555,3653,3752,3851,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
11,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
12,355,3669,3787,3905,4024,4142,426,4379,4497,4615,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
12,4044,4044,4044,4044,4044,4142,426,4379,4497,4615,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
13,4222,4362,4503,4644,4785,4925,5066,5207,5347,5488,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
13,4222,4362,4503,4644,4785,4925,5066,5207,5347,5488,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
14,4989,5155,5321,5488,5654,582,5987,6153,6319,6485,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
14,4989,5155,5321,5488,5654,582,5987,6153,6319,6485,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
15,5868,6064,6259,6455,6651,6846,7042,7237,7433,7629,,"ALBANY-SCHENECTADY, NY",Hourly,2018,B
15,5868,6064,6259,6455,6651,6846,7042,7237,7433,7629,,"ALBANY-SCHENECTADY, NY",Hourly,2018,O
1,21746,22474,23197,23916,24640,25062,25776,26499,26526,27206,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
2,24450,25032,25841,26526,26827,27617,28406,29196,29985,30775,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
3,26677,27566,28455,29344,30233,31122,32011,32900,33789,34678,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
4,29948,30946,31944,32942,33940,34938,35935,36933,37931,38929,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
5,33507,34624,35741,36858,37975,39092,40209,41326,42443,43560,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
6,37349,38593,39838,41082,42326,43571,44815,46060,47304,48549,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
7,41505,42888,44271,45655,47038,48421,49805,51188,52571,53955,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
8,45965,47497,49030,50563,52095,53628,55161,56693,58226,59759,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
9,50769,52461,54154,55846,57539,59231,60923,62616,64308,66001,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
10,55909,57772,59636,61500,63364,65227,67091,68955,70818,72682,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
11,61425,63472,65520,67568,69616,71664,73711,75759,77807,79855,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
12,73623,76077,78532,80986,83440,85894,88348,90802,93256,95710,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
13,87547,90465,93384,96302,99220,102139,105057,107975,110893,113812,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
14,103455,106903,110352,113800,117249,120697,124146,127594,131043,134491,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
15,121690,125747,129803,133859,137915,141972,146028,150084,154140,158196,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Salary,2018,
1,1042,1077,1111,1146,1181,1201,1235,127,1271,1304,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
1,1563,1616,1667,1719,1772,1802,1853,1905,1907,1956,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
2,1172,1199,1238,1271,1285,1323,1361,1399,1437,1475,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
2,1758,1799,1857,1907,1928,1985,2042,2099,2156,2213,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
3,1278,1321,1363,1406,1449,1491,1534,1576,1619,1662,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
3,1917,1982,2045,2109,2174,2237,2301,2364,2429,2493,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
4,1435,1483,1531,1578,1626,1674,1722,177,1817,1865,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
4,2153,2225,2297,2367,2439,2511,2583,2655,2726,2798,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
5,1606,1659,1713,1766,182,1873,1927,198,2034,2087,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
5,2409,2489,257,2649,273,281,2891,297,3051,3131,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
6,179,1849,1909,1968,2028,2088,2147,2207,2267,2326,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
6,2685,2774,2864,2952,3042,3132,3221,3311,3401,3489,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
7,1989,2055,2121,2188,2254,232,2386,2453,2519,2585,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
7,2984,3083,3182,3282,3381,348,3579,368,3779,3878,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
8,2202,2276,2349,2423,2496,257,2643,2716,279,2863,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
8,3303,3414,3524,3635,3744,3855,3965,4019,4019,4019,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
9,2433,2514,2595,2676,2757,2838,2919,300,3081,3162,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
9,365,3771,3893,4014,4019,4019,4019,4019,4019,4019,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
10,2679,2768,2857,2947,3036,3125,3215,3304,3393,3483,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
10,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
11,2943,3041,3139,3238,3336,3434,3532,363,3728,3826,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
11,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
12,3528,3645,3763,388,3998,4116,4233,4351,4468,4586,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
12,4019,4019,4019,4019,4019,4116,4233,4351,4468,4586,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
13,4195,4335,4475,4614,4754,4894,5034,5174,5314,5453,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
13,4195,4335,4475,4614,4754,4894,5034,5174,5314,5453,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
14,4957,5122,5288,5453,5618,5783,5949,6114,6279,6444,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
14,4957,5122,5288,5453,5618,5783,5949,6114,6279,6444,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
15,5831,6025,622,6414,6608,6803,6997,7191,7386,758,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,B
15,5831,6025,622,6414,6608,6803,6997,7191,7386,758,,"ALBUQUERQUE-SANTA FE-LAS VEGAS, NM",Hourly,2018,O
1,22760,23522,24279,25032,25789,26231,26979,27735,27764,28475,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
2,25590,26200,27047,27764,28079,28905,29731,30558,31384,32210,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
3,27921,28852,29782,30713,31643,32574,33504,34435,35365,36296,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
4,31345,32390,33434,34479,35523,36567,37612,38656,39700,40745,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
5,35070,36239,37408,38577,39747,40916,42085,43254,44423,45593,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
6,39091,40394,41696,42998,44301,45603,46906,48208,49511,50813,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
7,43441,44889,46336,47784,49232,50680,52128,53576,55024,56471,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
8,48109,49713,51317,52921,54526,56130,57734,59338,60942,62546,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
9,53137,54909,56680,58451,60223,61994,63765,65537,67308,69079,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
10,58517,60467,62418,64369,66319,68270,70221,72171,74122,76073,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
11,64290,66433,68577,70720,72863,75007,77150,79293,81436,83580,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
12,77058,79626,82195,84764,87332,89901,92469,95038,97606,100175,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
13,91631,94685,97740,100794,103849,106903,109958,113012,116066,119121,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
14,108281,111890,115499,119109,122718,126327,129937,133546,137156,140765,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
15,127367,131612,135858,140103,144349,148594,152840,157085,161331,164200,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Salary,2018,
1,1091,1127,1163,1199,1236,1257,1293,1329,133,1364,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
1,1637,1691,1745,1799,1854,1886,194,1994,1995,2046,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
2,1226,1255,1296,133,1345,1385,1425,1464,1504,1543,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
2,1839,1883,1944,1995,2018,2078,2138,2196,2256,2315,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
3,1338,1382,1427,1472,1516,1561,1605,165,1695,1739,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
3,2007,2073,2141,2208,2274,2342,2408,2475,2543,2609,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
4,1502,1552,1602,1652,1702,1752,1802,1852,1902,1952,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
4,2253,2328,2403,2478,2553,2628,2703,2778,2853,2928,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
5,168,1736,1792,1848,1905,1961,2017,2073,2129,2185,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
5,252,2604,2688,2772,2858,2942,3026,311,3194,3278,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
6,1873,1936,1998,206,2123,2185,2248,231,2372,2435,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
6,281,2904,2997,309,3185,3278,3372,3465,3558,3653,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
7,2082,2151,222,229,2359,2428,2498,2567,2637,2706,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
7,3123,3227,333,3435,3539,3642,3747,3851,3956,4059,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
8,2305,2382,2459,2536,2613,269,2766,2843,292,2997,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
8,3458,3573,3689,3804,392,4035,4149,4206,4206,4206,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
9,2546,2631,2716,2801,2886,297,3055,314,3225,331,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
9,3819,3947,4074,4202,4206,4206,4206,4206,4206,4206,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
10,2804,2897,2991,3084,3178,3271,3365,3458,3552,3645,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
10,4206,4206,4206,4206,4206,4206,4206,4206,4206,4206,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
11,308,3183,3286,3389,3491,3594,3697,3799,3902,4005,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
11,4206,4206,4206,4206,4206,4206,4206,4206,4206,4206,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
12,3692,3815,3938,4062,4185,4308,4431,4554,4677,480,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
12,4206,4206,4206,4206,4206,4308,4431,4554,4677,480,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
13,4391,4537,4683,483,4976,5122,5269,5415,5561,5708,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
13,4391,4537,4683,483,4976,5122,5269,5415,5561,5708,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
14,5188,5361,5534,5707,588,6053,6226,6399,6572,6745,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
14,5188,5361,5534,5707,588,6053,6226,6399,6572,6745,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
15,6103,6306,651,6713,6917,712,7323,7527,773,7868,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,B
15,6103,6306,651,6713,6917,712,7323,7527,773,7868,,"ATLANTA--ATHENS-CLARKE COUNTY--SANDY SPRINGS, GA-AL",Hourly,2018,O
1,21924,22658,23388,24112,24842,25268,25988,26716,26744,27429,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
2,24650,25237,26053,26744,27048,27844,28639,29435,30231,31027,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
3,26896,27792,28688,29585,30481,31377,32274,33170,34066,34963,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
4,30194,31200,32206,33212,34218,35224,36230,37236,38242,39248,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
5,33782,34908,36034,37160,38287,39413,40539,41665,42792,43918,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
6,37655,38910,40165,41419,42674,43928,45183,46438,47692,48947,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
7,41845,43240,44635,46029,47424,48819,50213,51608,53003,54397,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
8,46342,47887,49433,50978,52523,54068,55613,57159,58704,60249,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
9,51186,52892,54598,56304,58011,59717,61423,63130,64836,66542,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
10,56367,58246,60125,62005,63884,65763,67642,69521,71400,73279,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
11,61929,63993,66058,68122,70187,72252,74316,76381,78445,80510,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
12,74228,76702,79176,81650,84125,86599,89073,91547,94022,96496,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
13,88265,91208,94150,97092,100034,102977,105919,108861,111804,114746,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
14,104304,107781,111257,114734,118211,121688,125164,128641,132118,135595,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
15,122689,126779,130868,134958,139047,143137,147226,151316,155405,159495,,"AUSTIN-ROUND ROCK, TX",Salary,2018,
1,1051,1086,1121,1155,119,1211,1245,128,1281,1314,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,B
1,1577,1629,1682,1733,1785,1817,1868,192,1922,1971,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,O
2,1181,1209,1248,1281,1296,1334,1372,141,1449,1487,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,B
2,1772,1814,1872,1922,1944,2001,2058,2115,2174,2231,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,O
3,1289,1332,1375,1418,1461,1503,1546,1589,1632,1675,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,B
3,1934,1998,2063,2127,2192,2255,2319,2384,2448,2513,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,O
4,1447,1495,1543,1591,164,1688,1736,1784,1832,1881,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,B
4,2171,2243,2315,2387,246,2532,2604,2676,2748,2822,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,O
5,1619,1673,1727,1781,1835,1889,1942,1996,205,2104,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,B
5,2429,251,2591,2672,2753,2834,2913,2994,3075,3156,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,O
6,1804,1864,1925,1985,2045,2105,2165,2225,2285,2345,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,B
6,2706,2796,2888,2978,3068,3158,3248,3338,3428,3518,,"AUSTIN-ROUND ROCK, TX",Hourly,2018,O
